hour_bucket,temperatureC,precipitationMm,cloudCover,shortwaveRadiation,directNormalIrradiance,weatherIsDay
2025-01-01T00:00:00Z,18.9,0.0,23,648.0,463.4,1
2025-01-01T01:00:00Z,19.5,0.0,10,809.0,531.2,1
2025-01-01T02:00:00Z,20.0,0.0,1,1015.0,906.0,1
2025-01-01T03:00:00Z,20.4,0.0,1,1056.0,965.3,1
2025-01-01T04:00:00Z,20.5,0.0,3,1018.0,961.9,1
2025-01-01T05:00:00Z,20.9,0.0,1,884.0,837.4,1
2025-01-01T06:00:00Z,20.2,0.0,15,754.0,857.6,1
2025-01-01T07:00:00Z,20.0,0.0,95,539.0,685.6,1
2025-01-01T08:00:00Z,18.6,0.0,66,271.0,335.8,1
2025-01-01T09:00:00Z,18.0,0.0,23,111.0,218.6,1
2025-01-01T10:00:00Z,17.1,0.0,53,20.0,74.7,0
2025-01-01T11:00:00Z,16.9,0.0,55,0.0,0.0,0
2025-01-01T12:00:00Z,16.5,0.0,37,0.0,0.0,0
2025-01-01T13:00:00Z,16.1,0.2,100,0.0,0.0,0
2025-01-01T14:00:00Z,16.3,0.0,100,0.0,0.0,0
2025-01-01T15:00:00Z,16.0,0.0,97,0.0,0.0,0
2025-01-01T16:00:00Z,15.4,0.0,65,0.0,0.0,0
2025-01-01T17:00:00Z,15.0,0.0,39,0.0,0.0,0
2025-01-01T18:00:00Z,14.6,0.0,73,0.0,0.0,0
2025-01-01T19:00:00Z,14.4,0.0,62,0.0,0.0,0
2025-01-01T20:00:00Z,14.9,0.0,85,34.0,131.5,1
2025-01-01T21:00:00Z,15.8,0.0,100,159.0,276.2,1
2025-01-01T22:00:00Z,16.8,0.0,97,279.0,281.4,1
2025-01-01T23:00:00Z,17.5,0.0,100,417.0,223.6,1
2025-01-02T00:00:00Z,17.9,0.0,89,497.0,187.0,1
2025-01-02T01:00:00Z,19.0,0.0,40,818.0,571.9,1
2025-01-02T02:00:00Z,19.6,0.0,6,972.0,754.2,1
2025-01-02T03:00:00Z,20.0,0.0,4,1048.0,929.4,1
2025-01-02T04:00:00Z,20.0,0.0,6,1020.0,948.0,1
2025-01-02T05:00:00Z,19.9,0.0,21,924.0,932.7,1
2025-01-02T06:00:00Z,19.5,0.0,10,778.0,901.6,1
2025-01-02T07:00:00Z,19.0,0.0,0,590.0,835.1,1
2025-01-02T08:00:00Z,18.4,0.0,22,379.0,719.3,1
2025-01-02T09:00:00Z,17.6,0.0,0,172.0,513.1,1
2025-01-02T10:00:00Z,16.9,0.0,11,23.0,124.0,0
2025-01-02T11:00:00Z,16.2,0.0,15,0.0,0.0,0
2025-01-02T12:00:00Z,15.7,0.0,0,0.0,0.0,0
2025-01-02T13:00:00Z,14.6,0.0,0,0.0,0.0,0
2025-01-02T14:00:00Z,14.2,0.0,0,0.0,0.0,0
2025-01-02T15:00:00Z,13.9,0.0,12,0.0,0.0,0
2025-01-02T16:00:00Z,13.4,0.0,12,0.0,0.0,0
2025-01-02T17:00:00Z,13.0,0.0,8,0.0,0.0,0
2025-01-02T18:00:00Z,12.5,0.0,0,0.0,0.0,0
2025-01-02T19:00:00Z,11.7,0.0,0,0.0,0.0,0
2025-01-02T20:00:00Z,11.6,0.0,0,41.0,204.8,1
2025-01-02T21:00:00Z,13.1,0.0,0,207.0,557.5,1
2025-01-02T22:00:00Z,15.2,0.0,0,416.0,737.6,1
2025-01-02T23:00:00Z,18.0,0.0,0,622.0,841.8,1
2025-01-03T00:00:00Z,20.5,0.0,0,803.0,903.0,1
2025-01-03T01:00:00Z,22.7,0.0,0,942.0,940.7,1
2025-01-03T02:00:00Z,25.0,0.0,0,1027.0,958.3,1
2025-01-03T03:00:00Z,27.2,0.0,0,1049.0,960.9,1
2025-01-03T04:00:00Z,28.2,0.0,0,1009.0,950.1,1
2025-01-03T05:00:00Z,27.8,0.0,0,912.0,927.7,1
2025-01-03T06:00:00Z,27.1,0.0,0,765.0,888.8,1
2025-01-03T07:00:00Z,25.9,0.0,0,579.0,820.6,1
2025-01-03T08:00:00Z,26.2,0.0,0,371.0,706.0,1
2025-01-03T09:00:00Z,26.5,0.0,0,167.0,498.3,1
2025-01-03T10:00:00Z,25.2,0.0,0,23.0,123.6,0
2025-01-03T11:00:00Z,23.8,0.0,0,0.0,0.0,0
2025-01-03T12:00:00Z,22.2,0.0,0,0.0,0.0,0
2025-01-03T13:00:00Z,20.1,0.0,0,0.0,0.0,0
2025-01-03T14:00:00Z,19.6,0.0,0,0.0,0.0,0
2025-01-03T15:00:00Z,19.5,0.0,0,0.0,0.0,0
2025-01-03T16:00:00Z,18.7,0.0,0,0.0,0.0,0
2025-01-03T17:00:00Z,18.0,0.0,0,0.0,0.0,0
2025-01-03T18:00:00Z,17.3,0.0,0,0.0,0.0,0
2025-01-03T19:00:00Z,17.5,0.0,4,0.0,0.0,0
2025-01-03T20:00:00Z,19.2,0.0,0,40.0,217.7,1
2025-01-03T21:00:00Z,22.8,0.0,0,209.0,582.7,1
2025-01-03T22:00:00Z,27.5,0.0,75,420.0,764.1,1
2025-01-03T23:00:00Z,30.6,0.0,72,625.0,855.9,1
2025-01-04T00:00:00Z,32.5,0.0,23,804.0,904.9,1
2025-01-04T01:00:00Z,35.3,0.0,97,948.0,953.5,1
2025-01-04T02:00:00Z,36.8,0.0,100,1016.0,902.9,1
2025-01-04T03:00:00Z,37.4,0.0,100,973.0,675.8,1
2025-01-04T04:00:00Z,36.7,0.0,100,798.0,386.3,1
2025-01-04T05:00:00Z,36.0,0.0,98,691.0,337.9,1
2025-01-04T06:00:00Z,37.2,0.0,100,674.0,581.4,1
2025-01-04T07:00:00Z,38.5,0.0,100,478.0,487.5,1
2025-01-04T08:00:00Z,37.5,0.0,100,165.0,80.5,1
2025-01-04T09:00:00Z,35.2,0.0,100,98.0,94.9,1
2025-01-04T10:00:00Z,25.6,0.0,100,13.0,24.7,0
2025-01-04T11:00:00Z,25.6,0.0,97,0.0,0.0,0
2025-01-04T12:00:00Z,24.6,0.0,99,0.0,0.0,0
2025-01-04T13:00:00Z,23.2,0.0,100,0.0,0.0,0
2025-01-04T14:00:00Z,24.1,0.0,48,0.0,0.0,0
2025-01-04T15:00:00Z,23.2,0.0,57,0.0,0.0,0
2025-01-04T16:00:00Z,23.3,0.0,92,0.0,0.0,0
2025-01-04T17:00:00Z,23.2,0.0,87,0.0,0.0,0
2025-01-04T18:00:00Z,23.5,0.0,15,0.0,0.0,0
2025-01-04T19:00:00Z,23.0,0.0,84,0.0,0.0,0
2025-01-04T20:00:00Z,24.1,0.0,68,30.0,126.0,1
2025-01-04T21:00:00Z,26.1,0.0,98,136.0,240.1,1
2025-01-04T22:00:00Z,28.4,0.0,15,262.0,274.3,1
2025-01-04T23:00:00Z,32.4,0.0,78,627.0,888.1,1
2025-01-05T00:00:00Z,34.2,0.0,100,745.0,731.8,1
2025-01-05T01:00:00Z,37.2,0.0,48,878.0,808.1,1
2025-01-05T02:00:00Z,38.3,0.0,99,970.0,836.8,1
2025-01-05T03:00:00Z,38.3,0.0,43,849.0,653.3,1
2025-01-05T04:00:00Z,39.0,0.0,91,758.0,511.6,1
2025-01-05T05:00:00Z,39.2,0.0,80,773.0,625.6,1
2025-01-05T06:00:00Z,39.4,0.0,99,654.0,637.9,1
2025-01-05T07:00:00Z,39.4,0.0,99,527.0,638.8,1
2025-01-05T08:00:00Z,33.5,0.0,100,104.0,19.5,1
2025-01-05T09:00:00Z,34.0,0.0,100,43.0,4.5,1
2025-01-05T10:00:00Z,27.8,0.0,99,8.0,0.0,0
2025-01-05T11:00:00Z,26.9,0.0,100,0.0,0.0,0
2025-01-05T12:00:00Z,28.0,0.0,100,0.0,0.0,0
2025-01-05T13:00:00Z,30.0,0.0,100,0.0,0.0,0
2025-01-05T14:00:00Z,28.0,0.0,100,0.0,0.0,0
2025-01-05T15:00:00Z,25.5,0.4,100,0.0,0.0,0
2025-01-05T16:00:00Z,25.5,0.0,100,0.0,0.0,0
2025-01-05T17:00:00Z,24.5,0.3,100,0.0,0.0,0
2025-01-05T18:00:00Z,22.4,0.0,100,0.0,0.0,0
2025-01-05T19:00:00Z,21.0,0.0,99,0.0,0.0,0
2025-01-05T20:00:00Z,20.3,0.0,100,20.0,42.5,1
2025-01-05T21:00:00Z,20.0,0.6,100,95.0,52.6,1
2025-01-05T22:00:00Z,19.2,0.6,100,99.0,0.0,1
2025-01-05T23:00:00Z,18.5,2.4,100,176.0,13.1,1
2025-01-06T00:00:00Z,17.1,3.0,100,70.0,0.0,1
2025-01-06T01:00:00Z,16.2,3.4,100,100.0,0.0,1
2025-01-06T02:00:00Z,17.3,0.6,100,273.0,11.7,1
2025-01-06T03:00:00Z,16.9,0.6,100,198.0,0.0,1
2025-01-06T04:00:00Z,17.4,0.1,100,362.0,12.8,1
2025-01-06T05:00:00Z,17.4,0.1,100,317.0,17.5,1
2025-01-06T06:00:00Z,17.0,0.0,100,298.0,41.9,1
2025-01-06T07:00:00Z,16.9,0.0,99,234.0,71.5,1
2025-01-06T08:00:00Z,16.6,0.0,60,192.0,95.0,1
2025-01-06T09:00:00Z,16.5,0.0,87,152.0,338.4,1
2025-01-06T10:00:00Z,15.9,0.0,96,17.0,49.2,0
2025-01-06T11:00:00Z,15.7,0.0,81,0.0,0.0,0
2025-01-06T12:00:00Z,15.2,0.0,29,0.0,0.0,0
2025-01-06T13:00:00Z,14.8,0.0,81,0.0,0.0,0
2025-01-06T14:00:00Z,15.1,0.0,76,0.0,0.0,0
2025-01-06T15:00:00Z,15.4,0.0,100,0.0,0.0,0
